Gender,Contacted,Primary_Bank_Type,City_Category_B,City_Category_C,Employer_Category1_B,Employer_Category1_C,Source_Category_B,Source_Category_C,Source_Category_D,Source_Category_E,Source_Category_F,Source_Category_G,Age_Cat_Middle-Aged,Age_Cat_Old,Age_Cat_Young,Employer_Cat3_MSF,Employer_Cat3_MSME,Employer_Cat3_PVT,Employer_Cat3_VSF,Employer_Category2,Var1,Lead_Creation_Month,City_Code,Source,Monthly_Income,Existing_EMI,Loan_Amount,Loan_Period,Interest_Rate,loan_period_months,emi_recal,EMI-Monthly_Income_Ratio,Income_loan_Ratio,IR_15-20,IR_20-25,IR_25+
1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,7,7,0.034821904,0.059790874,3550,0,57000,5,14.264,60,1334,0.375774648,1.154194852,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0,8,0.148587593,0.059790874,1000,0,27000,4.8,18.95,57.6,717,0.717,1.952377705,1,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,10,4,0.034821904,-0.279868749,8000,0,139000,5,14.85,60,3296,0.412,1.248985636,0,0,0
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,7,12,-0.267721194,0.059790874,2800,900,10000,2,20,24,509,0.503214286,0.280534497,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,8,-0.267721194,0.059790874,2625,1000,18600,4,20.8,48,574,0.599619048,0.524630447,0,1,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,2,0.148587593,0.059790874,2550,0,38000,5,15.5,60,914,0.358431373,1.071213523,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,4,9,0.034821904,0.059790874,4750,0,81000,4,14.318,48,2226,0.468631579,1.262586858,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,7,9,0.034821904,0.059790874,5500,0,95000,4,15.048,48,2646,0.481090909,1.278882872,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,12,0.148587593,0.059790874,1300,0,18800,4,37,48,756,0.581538462,1.070740801,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,3,0.148587593,0.059790874,1550,0,35000,5,20,60,927,0.598064516,1.623188573,1,0,0
1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,10,1,-0.267721194,0.059790874,6500,0,100000,5,14.4,60,2348,0.361230769,1.105908698,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,0.148587593,0.059790874,1600,300,10400,2.6,28.8,31.2,477,0.485625,0.501597457,0,0,1
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,11,0.034821904,-0.279868749,1700,0,25000,4,35.5,48,982,0.577647059,1.088832167,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,-0.267721194,0.059790874,1450,250,10000,2.4,27.7,28.8,479,0.502758621,0.535354444,0,0,1
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,7,0.034821904,0.059790874,8200,3500,58000,4.8,14.348,57.6,1399,0.597439024,0.511462994,0,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,10,7,0.034821904,-0.279868749,7500,0,20000,1,15.248,12,1808,0.241066667,0.21574973,1,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,4,7,0.034821904,0.059790874,3000,0,45000,5,24,60,1295,0.431666667,1.07826098,0,1,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,8,-0.267721194,-0.279868749,961.8,420,8000,3.8,36.7,45.6,328,0.777708463,0.619501717,0,0,1
1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,2,-0.267721194,0.059790874,2000,200,26000,4,33,48,982,0.591,0.962527635,0,0,1
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,8,0.148587593,-0.279868749,1400,0,21000,4,35.5,48,825,0.589285714,1.11060881,0,0,1
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,10,7,0.034821904,0.059790874,3600,0,5000,1,16.35,12,454,0.126111111,0.112369651,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,10,9,0.148587593,0.059790874,5555.5,222.2,50000,4,15.016,48,1392,0.290558906,0.66637195,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,9,0.148587593,0.059790874,1200,0,16000,3,29.2,36,672,0.56,1.016824066,0,0,1
1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,4,8,0.148587593,0.059790874,2800,0,42000,5,20,60,1113,0.3975,1.07826098,1,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,7,0.148587593,-0.279868749,1000,500,9000,3.4,32.6,40.8,368,0.868,0.678288883,0,0,1
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,7,5,0.034821904,0.059790874,2500,0,20000,2,18.25,24,1001,0.4004,0.628397273,1,0,0
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,2,9,0.034821904,0.059790874,2400,0,48000,4,19.03,48,1436,0.598333333,1.480811747,1,0,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,8,0.148587593,0.059790874,800,0,18800,4,31.5,48,693,0.86625,1.739953802,0,0,1
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4,10,7,0.148587593,0.059790874,2620,0,20000,3,16.75,36,711,0.271374046,0.582151183,1,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,10,7,0.148587593,-0.279868749,3600,0,10000,1,15.75,12,906,0.251666667,0.224739302,1,0,0
1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,9,0.034821904,0.059790874,1700,0,27000,4,31.5,48,996,0.585882353,1.17593874,0,0,1
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,7,0.034821904,-0.279868749,800,0,18800,4,31.5,48,693,0.86625,1.739953802,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,7,7,0.148587593,0.059790874,2600,0,50000,5,17.45,60,1255,0.482692308,1.382385872,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,8,0.148587593,0.059790874,1300,3.6,19000,4,35.5,48,746,0.576615385,1.082131661,0,0,1
1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,2,8,0.034821904,-0.279868749,2000,0,34000,4,28.5,48,1195,0.5975,1.258689985,0,0,1
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,7,8,0.148587593,-0.279868749,2500,0,50000,5,15.5,60,1203,0.4812,1.437681307,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,4,-0.267721194,0.059790874,2000,0,28000,3,28.5,36,1166,0.583,1.067665269,0,0,1
0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,7,8,0.034821904,0.059790874,4896.5,0,63000,3,14.49,36,2168,0.44276524,0.981209785,0,0,0
1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,4,7,8,-0.267721194,0.059790874,2550,0,50000,5,14.49,60,1176,0.461176471,1.409491478,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,3,10,9,0.148587593,0.059790874,5500,0,150000,5,14.518,60,3531,0.642,1.96047451,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,7,9,-0.267721194,0.059790874,4500,0,58800,3.6,19.166,43.2,1895,0.421111111,0.978970392,1,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,10,0.034821904,0.059790874,1550,100,10000,3,20,36,372,0.304516129,0.492011645,1,0,0
